case_id,case_name,event_family,year,actor,sector,observed_outcome,strategic_response,time_horizon,confidence,source_status,evidence_note
HO-001,Huawei Entity List,Export Controls,2019,U.S. government; Huawei; suppliers,Technology,Restricted access to selected technology inputs changed supplier screening and product planning.,"Firms reviewed licensing exposure, supplier dependencies, and customer eligibility.",Medium-term,Medium,source pending; educational summary,Medium confidence because the outcome is a simplified public-history summary and should be checked against primary sources.
HO-002,ASML Export Controls,Export Controls,2023,Dutch government; ASML; chipmakers,Semiconductors,Advanced equipment licensing became a strategic chokepoint for selected manufacturing plans.,"Companies monitored license rules, tool availability, and jurisdictional alignment.",Medium-term,Medium,source pending; educational summary,Medium confidence because the outcome is a simplified public-history summary and should be checked against primary sources.
HO-003,Japan-Korea Materials Dispute,Trade Policy,2019,Japan; South Korea; materials suppliers,Semiconductors,Input-specific trade controls exposed dependence on specialized upstream suppliers.,"Firms examined alternate sources, inventory buffers, and supplier qualification timelines.",Medium-term,Medium,source pending; educational summary,Medium confidence because the outcome is a simplified public-history summary and should be checked against primary sources.
HO-004,Russia Sanctions After Ukraine Invasion,Sanctions,2022,Governments; banks; exporters; energy firms,Energy and Finance,"Sanctions disrupted transactions, counterparties, contracts, and compliance workflows.","Organizations expanded screening, reviewed contracts, and escalated legal/compliance review.",Short-to-medium-term,High,source pending; educational summary,High confidence because the outcome is broadly documented in public summaries; source URLs remain pending for this educational dataset.
HO-005,Iran Sanctions Reimposition,Sanctions,2018,U.S. government; multinational firms,Energy and Finance,Renewed sanctions increased counterparty and market-access restrictions for affected sectors.,"Firms reassessed market exposure, payment channels, and customer relationships.",Medium-term,Medium,source pending; educational summary,Medium confidence because the outcome is a simplified public-history summary and should be checked against primary sources.
HO-006,CHIPS and Science Act,Industrial Policy,2022,U.S. government; semiconductor firms,Semiconductors,Public incentives reshaped capacity planning and domestic manufacturing discussions.,"Companies evaluated eligibility rules, site selection, workforce needs, and supplier readiness.",Long-term,Medium,source pending; educational summary,Medium confidence because the outcome is a simplified public-history summary and should be checked against primary sources.
HO-007,Inflation Reduction Act Clean Energy Incentives,Industrial Policy,2022,U.S. government; energy firms; automakers,Energy and Manufacturing,Industrial incentives affected domestic content planning and clean-energy supply-chain strategy.,"Firms reviewed tax credit eligibility, supplier location, and compliance documentation.",Long-term,Medium,source pending; educational summary,Medium confidence because the outcome is a simplified public-history summary and should be checked against primary sources.
HO-008,COVID Supply Chain Disruption,Supply Chain Disruption,2020,Manufacturers; logistics firms; governments,Manufacturing and Logistics,"Restrictions and demand shifts exposed fragile inventory, sourcing, and logistics assumptions.","Organizations diversified suppliers, increased monitoring, and adjusted inventory strategy.",Short-to-medium-term,High,source pending; educational summary,High confidence because the outcome is broadly documented in public summaries; source URLs remain pending for this educational dataset.
HO-009,Red Sea Shipping Disruption,Supply Chain Disruption,2023,Shipping firms; militaries; exporters,Shipping and Logistics,"Security risks disrupted routing, transit times, insurance terms, and delivery planning.","Firms evaluated rerouting, customer communication, freight costs, and contingency planning.",Short-term,Medium,source pending; educational summary,Medium confidence because the outcome is a simplified public-history summary and should be checked against primary sources.
HO-010,Brexit Supply Chain Uncertainty,Trade Policy,2016,UK government; EU; manufacturers,Manufacturing and Retail,Customs and regulatory uncertainty complicated cross-border operating models.,"Companies prepared documentation, adjusted logistics plans, and monitored transition rules.",Long-term,Medium,source pending; educational summary,Medium confidence because the outcome is a simplified public-history summary and should be checked against primary sources.
HO-011,GDPR Implementation,Regulatory Action,2018,EU regulators; technology firms,Technology and Software,"Data protection rules increased governance, documentation, and compliance process needs.","Organizations created privacy controls, reporting workflows, and compliance ownership.",Long-term,High,source pending; educational summary,High confidence because the outcome is broadly documented in public summaries; source URLs remain pending for this educational dataset.
HO-012,Major Earnings Guidance Withdrawals During COVID,Earnings / Corporate Disclosure,2020,Public companies; executives,Multi-sector,Firms withdrew or revised guidance amid limited demand and operational visibility.,"Management teams emphasized uncertainty, liquidity monitoring, and scenario communication.",Short-term,High,source pending; educational summary,High confidence because the outcome is broadly documented in public summaries; source URLs remain pending for this educational dataset.
HO-013,Taiwan Strait Military Exercises,Geopolitical Escalation,2022,Militaries; governments; shippers,Semiconductors and Shipping,Security concerns highlighted exposure to critical routes and concentrated semiconductor capacity.,"Organizations reviewed continuity plans, supplier geography, and escalation monitoring.",Short-to-medium-term,Medium,source pending; educational summary,Medium confidence because the outcome is a simplified public-history summary and should be checked against primary sources.
HO-014,U.S.-China Technology Competition,Technology Competition,2018,Governments; technology firms,Technology,Technology policy became more linked to national security and industrial strategy.,"Firms monitored control lists, market access, and cross-border operating assumptions.",Long-term,Medium,source pending; educational summary,Medium confidence because the outcome is a simplified public-history summary and should be checked against primary sources.
