case_id,case_title,year,region,scenario_type,actors,industries,core_issue,business_relevance,geopolitical_relevance,market_relevance,why_it_matters,source_note
HA-001,Huawei Entity List,2019,"United States; China",Export Controls,"U.S. government; Huawei; suppliers","semiconductors; telecommunications; technology",U.S. restrictions limited access to selected technology inputs for Huawei.,"Shows how export controls can alter supplier access and compliance workflows.","Illustrates technology competition between the United States and China.","Affected narratives around technology supply chains and vendor exposure.","Useful analogue for restrictions on advanced technology access.","Public-history example; concise summary only."
HA-002,CHIPS and Science Act,2022,"United States",Industrial Policy,"U.S. government; semiconductor firms","semiconductors; manufacturing; technology",U.S. industrial policy expanded support for domestic semiconductor capacity.,"Shows how public incentives can shape capital planning and site selection.","Reflects strategic concern about supply resilience and technology leadership.","Influenced market discussion around domestic capacity and supply chain localization.","Useful for industrial policy and strategic investment cases.","Public-history example; concise summary only."
HA-003,ASML Export Controls,2023,"Netherlands; United States; China",Export Controls,"Dutch government; ASML; chipmakers","semiconductors; equipment; technology",Restrictions affected exports of advanced semiconductor manufacturing equipment.,"Highlights exposure to licensing rules for critical production tools.","Shows allied coordination around sensitive technology controls.","Affected interpretation of semiconductor equipment access and capacity constraints.","Useful analogue for equipment chokepoints and licensing uncertainty.","Public-history example; concise summary only."
HA-004,Russia Sanctions After Ukraine Invasion,2022,"Russia; Ukraine; European Union; United States",Sanctions,"governments; banks; energy firms; exporters","energy; finance; logistics; manufacturing",Broad sanctions restricted transactions, exports, and business activity linked to Russia.,"Shows how sanctions can affect counterparties, contracts, and compliance risk.","Reflects geopolitical conflict translating into economic restrictions.","Shaped narratives around energy, payments, and cross-border exposure.","Useful analogue for sanctions-driven operating constraints.","Public-history example; concise summary only."
HA-005,Taiwan Strait Military Exercises,2022,"Taiwan; China; United States",Military / Security Shock,"military; governments; shipping operators","semiconductors; shipping; technology",Military exercises around Taiwan raised concern about regional security and shipping routes.,"Shows how security shocks can affect continuity planning and supplier concentration review.","Highlights strategic sensitivity of Taiwan and regional deterrence dynamics.","Influenced discussion of semiconductor supply resilience and geopolitical risk.","Useful analogue for military-security events near critical supply nodes.","Public-history example; concise summary only."
HA-006,COVID Supply Chain Disruption,2020,"Global",Supply Chain Disruption,"manufacturers; suppliers; logistics firms; governments","manufacturing; logistics; healthcare; retail",Pandemic restrictions and demand shifts disrupted global production and logistics.,"Shows how operational shocks can expose supplier concentration and inventory assumptions.","Demonstrates how public health policy can affect cross-border operations.","Affected broad market narratives around resilience and shortages.","Useful analogue for systemic supply chain stress.","Public-history example; concise summary only."
HA-007,Inflation Reduction Act Clean Energy Incentives,2022,"United States",Industrial Policy,"U.S. government; energy firms; automakers; battery suppliers","energy; automotive; batteries; manufacturing",Industrial incentives supported domestic clean energy and battery supply chains.,"Shows how incentives can alter capital allocation and supplier location decisions.","Reflects strategic competition around clean energy production capacity.","Shaped discussion of domestic manufacturing and transition supply chains.","Useful analogue for subsidy-driven strategic investment.","Public-history example; concise summary only."
HA-008,Japan-Korea Semiconductor Materials Dispute,2019,"Japan; South Korea",Trade Policy,"Japanese government; South Korean chipmakers; materials suppliers","semiconductors; chemicals; technology",Export controls affected selected semiconductor materials trade between Japan and South Korea.,"Shows how trade restrictions can affect specialized upstream inputs.","Highlights bilateral tensions affecting advanced manufacturing.","Affected interpretation of semiconductor supply chain concentration.","Useful analogue for input-specific trade policy disruption.","Public-history example; concise summary only."
HA-009,Brexit Supply Chain Uncertainty,2016,"United Kingdom; European Union",Trade Policy,"UK government; EU; manufacturers; logistics firms","manufacturing; logistics; retail",Brexit created uncertainty around customs, rules, and cross-border operating models.,"Shows how policy transition can require contingency planning and documentation changes.","Reflects political change altering regional economic integration.","Influenced business discussion of trade friction and operational readiness.","Useful analogue for prolonged trade policy uncertainty.","Public-history example; concise summary only."
HA-010,Red Sea Shipping Disruption,2023,"Red Sea; Middle East",Supply Chain Disruption,"shipping firms; militaries; exporters; importers","shipping; logistics; energy; retail",Security risks disrupted shipping routes through the Red Sea.,"Shows how route disruption can affect delivery timing and logistics costs.","Links regional security conditions with global trade flows.","Affected narratives around freight, energy routes, and inventory planning.","Useful analogue for transportation chokepoints and rerouting risk.","Public-history example; concise summary only."
HA-011,GDPR Implementation,2018,"European Union",Regulatory Action,"EU regulators; technology firms; data processors","technology; software; advertising",Data protection rules changed compliance expectations for organizations handling personal data.,"Shows how regulation can require governance, documentation, and process changes.","Illustrates regulatory power shaping global business practices.","Affected discussion of compliance readiness and data-intensive business models.","Useful analogue for regulatory implementation and operational compliance.","Public-history example; concise summary only."
HA-012,Major Earnings Guidance Withdrawal During COVID,2020,"Global",Earnings / Corporate Disclosure,"public companies; executives; investors","retail; airlines; manufacturing; technology",Many firms withdrew or revised guidance amid pandemic uncertainty.,"Shows how disclosures can communicate operating uncertainty and planning limits.","Connects corporate communication with macro and policy disruption.","Influenced interpretation of resilience, demand visibility, and management commentary.","Useful analogue for disclosure events under uncertainty.","Public-history example; concise summary only."
